V1;V2;V3;V4;V5;V6;V7
81;12054_7#31;T126N1_C6;ST239;ERS254837;121.08;current;T126_N01_C27
82;12054_7#32;T126N1_C7;ST239;ERS254838;116.32;current;T126_N01_C28
83;12054_7#33;T126N1_C8;ST239;ERS254839;97.23;current;T126_N01_C29
84;4752_7#8;T126N10;NA;ERS007953;62.4;Tong;T126_N10_C01
85;12054_7#81;T126N10_C1;ST239;ERS254887;89.88;current;T126_N10_C02
86;12054_7#82;T126N10_C2;ST239;ERS254888;86.19;current;T126_N10_C03
87;12054_7#83;T126N10_C3;ST239;ERS254889;103.71;current;T126_N10_C04
88;12054_7#84;T126N10_C4;ST239;ERS254890;117.28;current;T126_N10_C05
89;12054_7#85;T126N10_C5;ST239;ERS254891;115.16;current;T126_N10_C06
90;12054_7#86;T126N10_C6;ST239;ERS254892;114.88;current;T126_N10_C07
91;12054_7#87;T126N10_C7;ST239;ERS254893;111.54;current;T126_N10_C08
92;12054_7#88;T126N10_C8;ST239;ERS254894;105.66;current;T126_N10_C09
93;4752_7#9;T126N11;NA;ERS007954;71.8;Tong;T126_N11_C01
94;12054_7#89;T126N11_C1;ST239;ERS254895;97.47;current;T126_N11_C02
95;12054_7#90;T126N11_C2;ST239;ERS254896;108.6;current;T126_N11_C03
96;12054_7#91;T126N11_C3;ST239;ERS254897;107.46;current;T126_N11_C04
97;12054_7#92;T126N11_C4;ST239;ERS254898;108.48;current;T126_N11_C05
98;12054_7#93;T126N11_C5;ST239;ERS254899;110.61;current;T126_N11_C06
99;12054_7#94;T126N11_C6;ST239;ERS254900;104.46;current;T126_N11_C07
100;12054_8#1;T126N11_C7;ST239;ERS254901;105.75;current;T126_N11_C08
101;12083_7#86;T126N11_C8;ST239;ERS255081;115.72;current;T126_N11_C09
102;4752_7#10;T126N12;NA;ERS007955;65.9;Tong;T126_N12_C01
103;12054_8#2;T126N12_C1;ST239;ERS254902;99.39;current;T126_N12_C02
104;12054_8#3;T126N12_C2;ST239;ERS254903;110.46;current;T126_N12_C03
105;12054_8#4;T126N12_C3;ST239;ERS254904;100.32;current;T126_N12_C04
106;12054_8#5;T126N12_C4;ST239;ERS254905;106.98;current;T126_N12_C05
