V1;V2;V3;V4;V5;V6;V7
332;12162_6#36;T12N15_C5;ST239;ERS254654;91.74;current;T012_N15_C05
333;12162_6#37;T12N15_C6;ST239;ERS254655;92.49;current;T012_N15_C06
334;12162_6#38;T12N15_C7;ST239;ERS254656;90.24;current;T012_N15_C07
335;12162_6#39;T12N15_C8;ST239;ERS254657;88.38;current;T012_N15_C08
336;12162_6#40;T12N16_C1;ST239;ERS254658;93.63;current;T012_N16_C01
337;12162_6#41;T12N16_C2;ST239;ERS254659;85.26;current;T012_N16_C02
338;12162_6#42;T12N16_C3;ST239;ERS254660;85.14;current;T012_N16_C03
339;12162_6#43;T12N16_C4;ST239;ERS254661;88.14;current;T012_N16_C04
340;12162_6#44;T12N16_C5;ST239;ERS254662;86.97;current;T012_N16_C05
341;12162_6#45;T12N16_C6;ST239;ERS254663;86.91;current;T012_N16_C06
342;12162_6#46;T12N16_C7;ST239;ERS254664;93.57;current;T012_N16_C07
343;12162_6#47;T12N16_C8;ST239;ERS254665;89.22;current;T012_N16_C08
344;12162_6#48;T12N17_C1;ST239;ERS254666;92.97;current;T012_N17_C01
345;12162_6#49;T12N17_C2;ST239;ERS254667;91.89;current;T012_N17_C02
346;12162_6#50;T12N17_C3;ST239;ERS254668;84.72;current;T012_N17_C03
347;12162_6#51;T12N17_C4;ST239;ERS254669;87.21;current;T012_N17_C04
348;12162_6#52;T12N17_C5;ST239;ERS254670;96.15;current;T012_N17_C05
349;12162_6#53;T12N17_C6;ST239;ERS254671;90.93;current;T012_N17_C06
350;12162_6#54;T12N17_C7;ST239;ERS254672;86.73;current;T012_N17_C07
351;12162_6#55;T12N17_C8;ST239;ERS254673;92.28;current;T012_N17_C08
352;12162_6#56;T12N18_C1;ST239;ERS254674;98.94;current;T012_N18_C01
353;12162_6#57;T12N18_C2;ST239;ERS254675;93.81;current;T012_N18_C02
354;12162_6#58;T12N18_C3;ST239;ERS254676;85.08;current;T012_N18_C03
355;12162_6#59;T12N18_C4;ST239;ERS254677;87.9;current;T012_N18_C04
356;12162_6#60;T12N18_C5;ST239;ERS254678;91.32;current;T012_N18_C05
357;12162_6#61;T12N18_C6;ST239;ERS254679;84.78;current;T012_N18_C06
358;12162_6#62;T12N18_C7;ST239;ERS254680;84.9;current;T012_N18_C07
359;12162_6#63;T12N18_C8;ST239;ERS254681;82.05;current;T012_N18_C08
360;12162_6#64;T12N19_C1;ST239;ERS254682;89.04;current;T012_N19_C01
361;12162_6#65;T12N19_C2;ST239;ERS254683;88.29;current;T012_N19_C02
362;12162_6#66;T12N19_C3;ST239;ERS254684;77.44;current;T012_N19_C03
363;12162_6#67;T12N19_C4;ST239;ERS254685;92.34;current;T012_N19_C04
364;12162_6#68;T12N19_C5;ST239;ERS254686;85.56;current;T012_N19_C05
365;12162_6#69;T12N19_C6;ST239;ERS254687;79.88;current;T012_N19_C06
366;12162_6#70;T12N19_C7;ST239;ERS254688;91.92;current;T012_N19_C07
367;12162_6#71;T12N19_C8;ST239;ERS254689;89.82;current;T012_N19_C08
368;12162_7#35;T12N2_C1;ST239;ERS255222;114.84;current;T012_N02_C01
369;12162_7#36;T12N2_C2;ST239;ERS255223;113.6;current;T012_N02_C02
370;12162_7#37;T12N2_C3;ST239;ERS255224;120.44;current;T012_N02_C03
371;12162_7#38;T12N2_C4;ST239;ERS255225;120.56;current;T012_N02_C04
372;12162_7#39;T12N2_C5;ST239;ERS255226;122.12;current;T012_N02_C05
373;12162_7#40;T12N2_C6;ST239;ERS255227;114.84;current;T012_N02_C06
374;12162_7#41;T12N2_C7;ST239;ERS255228;114;current;T012_N02_C07
375;12162_7#42;T12N2_C8;ST239;ERS255229;107.37;current;T012_N02_C08
376;12162_6#72;T12N20_C1;ST239;ERS254690;93.6;current;T012_N20_C01
377;12162_6#73;T12N20_C2;ST239;ERS254691;88.11;current;T012_N20_C02
378;12162_6#74;T12N20_C3;ST239;ERS254692;91.2;current;T012_N20_C03
379;12162_6#75;T12N20_C5;ST239;ERS254693;83.25;current;T012_N20_C04
380;12162_6#76;T12N20_C4;ST239;ERS254694;92.22;current;T012_N20_C05
381;12162_6#77;T12N20_C6;ST239;ERS254695;87.93;current;T012_N20_C06
382;12162_6#78;T12N20_C7;ST239;ERS254696;94.23;current;T012_N20_C07
383;12162_6#79;T12N20_C8;ST239;ERS254697;93.84;current;T012_N20_C08
384;12162_6#80;T12N21_C1;ST239;ERS254698;98.64;current;T012_N21_C01
385;12162_6#81;T12N21_C2;ST239;ERS254699;88.35;current;T012_N21_C02
386;12162_6#82;T12N21_C3;ST239;ERS254700;85.05;current;T012_N21_C03
387;12162_6#83;T12N21_C4;ST239;ERS254701;90.24;current;T012_N21_C04
388;12162_6#84;T12N21_C5;ST239;ERS254702;97.71;current;T012_N21_C05
389;12162_6#85;T12N21_C6;ST239;ERS254703;105.18;current;T012_N21_C06
390;12162_6#86;T12N21_C7;ST239;ERS254704;97.2;current;T012_N21_C07
391;12162_6#87;T12N21_C8;ST239;ERS254705;94.23;current;T012_N21_C08
392;12083_6#94;T12N22_C8;ST239;ERS254806;85.44;current;T012_N22_C01
393;12162_6#88;T12N22_C1;ST239;ERS254706;97.47;current;T012_N22_C02
394;12162_6#89;T12N22_C2;ST239;ERS254707;99.81;current;T012_N22_C03
395;12162_6#90;T12N22_C3;ST239;ERS254708;103.65;current;T012_N22_C04
396;12162_6#91;T12N22_C4;ST239;ERS254709;97.74;current;T012_N22_C05
397;12162_6#92;T12N22_C5;ST239;ERS254710;97.32;current;T012_N22_C06
398;12162_6#93;T12N22_C6;ST239;ERS254711;97.68;current;T012_N22_C07
399;12162_6#94;T12N22_C7;ST239;ERS254712;93.72;current;T012_N22_C08
400;4925_8#6;T12N24;NA;ERS007998;130.7;Tong;T012_N24_C01
401;12083_6#1;T12N25_C1;ST239;ERS254713;106.29;current;T012_N25_C01
402;12083_6#2;T12N25_C2;ST239;ERS254714;98.79;current;T012_N25_C02
403;12083_6#3;T12N25_C3;ST239;ERS254715;112.24;current;T012_N25_C03
404;12083_6#4;T12N25_C4;ST239;ERS254716;104.85;current;T012_N25_C04
405;12083_6#5;T12N25_C5;ST239;ERS254717;105.78;current;T012_N25_C05
406;12083_6#6;T12N25_C6;ST239;ERS254718;112.2;current;T012_N25_C06
407;12083_6#7;T12N25_C7;ST239;ERS254719;141.3;current;T012_N25_C07
408;12083_6#8;T12N25_C8;ST239;ERS254720;995.4;current;T012_N25_C08
409;12083_6#10;T12N26_C2;ST239;ERS254722;82.68;current;T012_N26_C01
410;12083_6#11;T12N26_C3;ST239;ERS254723;93.24;current;T012_N26_C02
411;12083_6#12;T12N26_C4;ST239;ERS254724;88.23;current;T012_N26_C03
412;12083_6#13;T12N26_C5;ST239;ERS254725;95.97;current;T012_N26_C04
413;12083_6#14;T12N26_C6;ST239;ERS254726;97.08;current;T012_N26_C05
414;12083_6#15;T12N26_C7;ST239;ERS254727;106.2;current;T012_N26_C06
415;12083_6#16;T12N26_C8;ST239;ERS254728;107.28;current;T012_N26_C07
416;12083_6#9;T12N26_C1;ST239;ERS254721;981;current;T012_N26_C08
417;12083_6#17;T12N27_C1;ST239;ERS254729;107.64;current;T012_N27_C01
418;12083_6#18;T12N27_C2;ST239;ERS254730;94.32;current;T012_N27_C02
419;12083_6#19;T12N27_C3;ST239;ERS254731;101.73;current;T012_N27_C03
420;12083_6#20;T12N27_C4;ST239;ERS254732;102.87;current;T012_N27_C04
421;12083_6#21;T12N27_C5;ST239;ERS254733;102.6;current;T012_N27_C05
422;12083_6#22;T12N27_C6;ST239;ERS254734;110.08;current;T012_N27_C06
423;12083_6#23;T12N27_C7;ST239;ERS254735;115.76;current;T012_N27_C07
424;12083_6#24;T12N27_C8;ST239;ERS254736;105.12;current;T012_N27_C08
425;4925_8#5;T12N28;NA;ERS007997;96.6;Tong;T012_N28_C01
426;12083_6#25;T12N28_C1;ST239;ERS254737;99.15;current;T012_N28_C02
427;12083_6#26;T12N28_C2;ST239;ERS254738;97.41;current;T012_N28_C03
428;12083_6#27;T12N28_C3;ST239;ERS254739;105.36;current;T012_N28_C04
429;12083_6#28;T12N28_C4;ST239;ERS254740;98.91;current;T012_N28_C05
430;12083_6#29;T12N28_C5;ST239;ERS254741;100.59;current;T012_N28_C06
431;12083_6#30;T12N28_C6;ST239;ERS254742;97.8;current;T012_N28_C07
432;12083_6#31;T12N28_C7;ST239;ERS254743;100.56;current;T012_N28_C08
433;12083_6#32;T12N28_C8;ST239;ERS254744;99.87;current;T012_N28_C09
434;12162_7#43;T12N4_C1;ST239;ERS255230;116.52;current;T012_N04_C01
435;12162_7#44;T12N4_C2;ST239;ERS255231;122;current;T012_N04_C02
436;12162_7#45;T12N4_C3;ST239;ERS255232;116.32;current;T012_N04_C03
437;12162_7#46;T12N4_C4;ST239;ERS255233;117.44;current;T012_N04_C04
438;12162_7#47;T12N4_C5;ST239;ERS255234;113;current;T012_N04_C05
439;12162_7#48;T12N4_C6;ST239;ERS255235;104.46;current;T012_N04_C06
440;12162_7#49;T12N4_C7;ST239;ERS255236;105;current;T012_N04_C07
441;12162_7#50;T12N4_C8;ST239;ERS255237;110.64;current;T012_N04_C08
442;12162_7#51;T12N5_C1;ST239;ERS255238;123.2;current;T012_N05_C01
443;12162_7#52;T12N5_C2;ST239;ERS255239;140.95;current;T012_N05_C02
444;12162_7#53;T12N5_C3;ST239;ERS255240;125.8;current;T012_N05_C03
445;12162_7#54;T12N5_C4;ST239;ERS255241;127.52;current;T012_N05_C04
446;12162_7#55;T12N5_C5;ST239;ERS255242;128.2;current;T012_N05_C05
447;12162_7#56;T12N5_C6;ST239;ERS255243;122.6;current;T012_N05_C06
448;12162_7#57;T12N5_C7;ST239;ERS255244;121.36;current;T012_N05_C07
449;12162_7#58;T12N5_C8;ST239;ERS255245;113.8;current;T012_N05_C08
450;12162_7#59;T12N6_C1;ST239;ERS255246;113.2;current;T012_N06_C01
451;12162_7#60;T12N6_C2;ST239;ERS255247;113.84;current;T012_N06_C02
452;12162_7#61;T12N6_C3;ST239;ERS255248;112.68;current;T012_N06_C03
453;12162_7#62;T12N6_C4;ST239;ERS255249;121.88;current;T012_N06_C04
454;12162_7#63;T12N6_C5;ST239;ERS255250;139.85;current;T012_N06_C05
455;12162_7#64;T12N6_C6;ST239;ERS255251;111.32;current;T012_N06_C06
456;12162_7#65;T12N6_C7;ST239;ERS255252;118.96;current;T012_N06_C07
457;12162_7#66;T12N6_C8;ST239;ERS255253;119.76;current;T012_N06_C08
458;12162_7#67;T12N7_C1;ST239;ERS255254;118.84;current;T012_N07_C01
459;12162_7#68;T12N7_C2;ST239;ERS255255;114.16;current;T012_N07_C02
460;12162_7#69;T12N7_C3;ST239;ERS255256;109.88;current;T012_N07_C03
461;12162_7#70;T12N7_C4;ST239;ERS255257;112.04;current;T012_N07_C04
462;12162_7#71;T12N7_C5;ST239;ERS255258;111.2;current;T012_N07_C05
463;12162_7#72;T12N7_C6;ST239;ERS255259;103.14;current;T012_N07_C06
464;12162_7#73;T12N7_C7;ST239;ERS255260;96.81;current;T012_N07_C07
465;12162_7#74;T12N7_C8;ST239;ERS255261;99.6;current;T012_N07_C08
466;12162_7#75;T12N9_C1;ST239;ERS255262;100.8;current;T012_N09_C01
467;12162_7#76;T12N9_C2;ST239;ERS255263;101.88;current;T012_N09_C02
468;12162_7#77;T12N9_C3;ST239;ERS255264;105.45;current;T012_N09_C03
469;12162_7#78;T12N9_C4;ST239;ERS255265;104.46;current;T012_N09_C04
470;12162_7#79;T12N9_C5;ST239;ERS255266;95.22;current;T012_N09_C05
471;12162_7#80;T12N9_C6;ST239;ERS255267;103.47;current;T012_N09_C06
472;12162_7#81;T12N9_C7;ST239;ERS255268;93.66;current;T012_N09_C07
473;12162_7#82;T12N9_C8;ST239;ERS255269;92.61;current;T012_N09_C08
474;12378_8#17;T12T10;ST239;ERS255297;130.6;current;T012_T10_C01
475;12378_8#18;T12T11;ST239;ERS255298;122.24;current;T012_T11_C01
476;12378_8#19;T12T12;ST239;ERS255299;128.36;current;T012_T12_C01
477;12378_8#20;T12T13;ST239;ERS255300;137.15;current;T012_T13_C01
478;12378_8#21;T12T14;ST239;ERS255301;135.85;current;T012_T14_C01
479;12378_8#22;T12T15;ST239;ERS255302;148.35;current;T012_T15_C01
480;12378_8#23;T12T16;ST239;ERS255303;150.35;current;T012_T16_C01
481;12378_8#24;T12T17;ST239;ERS255304;143.15;current;T012_T17_C01
482;12378_8#25;T12T18;ST239;ERS255305;118.76;current;T012_T18_C01
483;12378_8#26;T12T19;ST239;ERS255306;118.96;current;T012_T19_C01
484;12378_8#9;T12T2;ST239;ERS255289;127.6;current;T012_T02_C01
485;12378_8#27;T12T20;ST239;ERS255307;112;current;T012_T20_C01
486;12378_8#28;T12T21;ST239;ERS255308;131.92;current;T012_T21_C01
487;12378_8#29;T12T25;ST239;ERS255309;120.08;current;T012_T25_C01
488;12378_8#30;T12T27;ST239;ERS255310;123.56;current;T012_T27_C01
489;12378_8#10;T12T3;ST239;ERS255290;119.56;current;T012_T03_C01
490;12378_8#11;T12T4;ST239;ERS255291;126.04;current;T012_T04_C01
491;12378_8#12;T12T5;ST239;ERS255292;129.44;current;T012_T05_C01
492;12378_8#13;T12T6;ST239;ERS255293;142.2;current;T012_T06_C01
493;12378_8#14;T12T7;ST239;ERS255294;135.48;current;T012_T07_C01
494;12378_8#15;T12T8;ST239;ERS255295;137.8;current;T012_T08_C01
495;12378_8#16;T12T9;ST239;ERS255296;140.55;current;T012_T09_C01
496;12378_8#70;T137C3;ST239;ERS255350;113.44;current;T137_C03_C01
497;12083_7#1;T137N10_C1;ST239;ERS254996;108.96;current;T137_N10_C01
498;12083_7#2;T137N10_C2;ST239;ERS254997;106.11;current;T137_N10_C02
499;12083_7#3;T137N10_C3;ST239;ERS254998;108.84;current;T137_N10_C03
500;12083_7#4;T137N10_C4;ST239;ERS254999;100.26;current;T137_N10_C04
501;12083_7#5;T137N10_C5;ST239;ERS255000;105.27;current;T137_N10_C05
502;12083_7#6;T137N10_C6;ST239;ERS255001;111.32;current;T137_N10_C06
503;12083_7#7;T137N10_C7;ST239;ERS255002;121.28;current;T137_N10_C07
504;12083_7#8;T137N10_C8;ST239;ERS255003;130.44;current;T137_N10_C08
505;12083_7#10;T137N11_C2;ST239;ERS255005;99.99;current;T137_N11_C01
506;12083_7#11;T137N11_C3;ST239;ERS255006;110.88;current;T137_N11_C02
507;12083_7#12;T137N11_C4;ST239;ERS255007;110.92;current;T137_N11_C03
508;12083_7#13;T137N11_C6;ST239;ERS255008;125.76;current;T137_N11_C04
509;12083_7#14;T137N11_C7;ST239;ERS255009;120.2;current;T137_N11_C05
510;12083_7#15;T137N11_C8;ST239;ERS255010;101.04;current;T137_N11_C06
511;12083_7#9;T137N11_C1;ST239;ERS255004;106.53;current;T137_N11_C07
512;5227_1#7;T137N12;NA;ERS008033;64.7;Tong;T137_N12_C01
513;10456_5#17;T137N12_C2;ST239;ERS255012;120.92;current;T137_N12_C02
514;10456_5#18;T137N12_C3;ST239;ERS255013;120.52;current;T137_N12_C03
515;12083_7#16;T137N12_C1;ST239;ERS255011;91.2;current;T137_N12_C04
516;12083_7#19;T137N12_C4;ST239;ERS255014;121.24;current;T137_N12_C05
517;12083_7#20;T137N12_C5;ST239;ERS255015;114.44;current;T137_N12_C06
518;12083_7#21;T137N12_C6;ST239;ERS255016;126.64;current;T137_N12_C07
519;12083_7#22;T137N12_C7;ST239;ERS255017;127;current;T137_N12_C08
520;12083_7#23;T137N12_C8;ST239;ERS255018;123.76;current;T137_N12_C09
521;5227_1#8;T137N3;NA;ERS008034;128.3;Tong;T137_N03_C01
522;12054_8#49;T137N4_C1;ST239;ERS254949;116.48;current;T137_N04_C01
523;12054_8#50;T137N4_C2;ST239;ERS254950;106.65;current;T137_N04_C02
524;12054_8#51;T137N4_C3;ST239;ERS254951;118.28;current;T137_N04_C03
525;12054_8#52;T137N4_C4;ST239;ERS254952;117.4;current;T137_N04_C04
526;12054_8#53;T137N4_C6;ST239;ERS254953;112.4;current;T137_N04_C05
527;12054_8#54;T137N4_C7;ST239;ERS254954;117.48;current;T137_N04_C06
528;12054_8#55;T137N4_C8;ST239;ERS254955;119.32;current;T137_N04_C07
529;12054_8#56;T137N5_C1;ST239;ERS254956;127.56;current;T137_N05_C01
530;12054_8#57;T137N5_C2;ST239;ERS254957;114.2;current;T137_N05_C02
531;12054_8#58;T137N5_C3;ST239;ERS254958;102.87;current;T137_N05_C03
532;12054_8#59;T137N5_C4;ST239;ERS254959;115.28;current;T137_N05_C04
533;12054_8#60;T137N5_C5;ST239;ERS254960;106.02;current;T137_N05_C05
534;12054_8#61;T137N5_C6;ST239;ERS254961;109.44;current;T137_N05_C06
535;12054_8#62;T137N5_C7;ST239;ERS254962;109.2;current;T137_N05_C07
536;12054_8#63;T137N5_C8;ST239;ERS254963;110.2;current;T137_N05_C08
537;12054_8#64;T137N6_C1;ST239;ERS254964;118.76;current;T137_N06_C01
538;12054_8#65;T137N6_C2;ST239;ERS254965;118.68;current;T137_N06_C02
539;12054_8#66;T137N6_C3;ST239;ERS254966;109.4;current;T137_N06_C03
540;12054_8#67;T137N6_C4;ST239;ERS254967;111.24;current;T137_N06_C04
541;12054_8#68;T137N6_C5;ST239;ERS254968;109.28;current;T137_N06_C05
542;12054_8#69;T137N6_C6;ST239;ERS254969;108.54;current;T137_N06_C06
543;12054_8#70;T137N6_C7;ST239;ERS254970;109.11;current;T137_N06_C07
544;12054_8#71;T137N6_C8;ST239;ERS254971;109.29;current;T137_N06_C08
545;12054_8#72;T137N7_C1;ST239;ERS254973;110.68;current;T137_N07_C01
546;12054_8#73;T137N7_C2;ST239;ERS254974;102.18;current;T137_N07_C02
547;12054_8#74;T137N7_C3;ST239;ERS254975;100.17;current;T137_N07_C03
548;12054_8#75;T137N7_C4;ST239;ERS254976;104.01;current;T137_N07_C04
549;12054_8#76;T137N7_C5;ST239;ERS254977;99.72;current;T137_N07_C05
550;12054_8#77;T137N7_C6;ST239;ERS254978;93.66;current;T137_N07_C06
551;12054_8#78;T137N7_C7;ST239;ERS254979;93.69;current;T137_N07_C07
552;12054_8#79;T137N7_C8;ST239;ERS254980;102.72;current;T137_N07_C08
553;12054_8#80;T137N8_C1;ST239;ERS254981;101.07;current;T137_N08_C01
554;12054_8#81;T137N8_C2;ST239;ERS254982;103.32;current;T137_N08_C02
555;12054_8#82;T137N8_C3;ST239;ERS254983;101.4;current;T137_N08_C03
556;12054_8#83;T137N8_C4;ST239;ERS254984;106.17;current;T137_N08_C04
557;12054_8#84;T137N8_C5;ST239;ERS254985;102.87;current;T137_N08_C05
558;12054_8#85;T137N8_C6;ST239;ERS254986;110.68;current;T137_N08_C06
559;12054_8#86;T137N8_C7;ST239;ERS254987;107.49;current;T137_N08_C07
560;12054_8#87;T137N8_C8;ST239;ERS254988;112.08;current;T137_N08_C08
561;12054_8#88;T137N9_C1;ST239;ERS254989;114.56;current;T137_N09_C01
562;12054_8#89;T137N9_C2;ST239;ERS254990;105.66;current;T137_N09_C02
563;12054_8#90;T137N9_C3;ST239;ERS254991;101.46;current;T137_N09_C03
564;12054_8#91;T137N9_C4;ST239;ERS254992;104.91;current;T137_N09_C04
565;12054_8#92;T137N9_C5;ST239;ERS254993;108.33;current;T137_N09_C05
566;12054_8#93;T137N9_C6;ST239;ERS254994;101.7;current;T137_N09_C06
567;12054_8#94;T137N9_C7;ST239;ERS254995;98.7;current;T137_N09_C07
568;12083_7#87;T137N9_C8;ST239;ERS255082;107.82;current;T137_N09_C08
569;12378_8#64;T137T3;ST239;ERS255344;100.44;current;T137_T03_C01
570;12378_8#65;T137T4;ST239;ERS255345;121.16;current;T137_T04_C01
571;12378_8#66;T137T5;ST239;ERS255346;119.44;current;T137_T05_C01
572;12378_8#67;T137T6;ST239;ERS255347;111.76;current;T137_T06_C01
573;12378_8#68;T137T7;ST239;ERS255348;118.64;current;T137_T07_C01
574;12378_8#69;T137T8;ST239;ERS255349;103.65;current;T137_T08_C01
575;12378_8#31;T13A1;ST239;ERS255311;121.92;current;T013_A01_C01
576;12378_8#32;T14A1;ST239;ERS255312;127.4;current;T014_A01_C01
577;5227_1#6;T156W3;NA;ERS008032;74.8;Tong;T156_W03_C01
578;12378_8#71;T159A8;ST239;ERS255351;106.05;current;T159_A08_C01
579;12378_8#72;T159C7;ST239;ERS255352;111.68;current;T159_C07_C01
580;12378_8#73;T159C8;ST239;ERS255353;118.72;current;T159_C08_C01
581;5227_1#3;T159N4;NA;ERS008029;144.1;Tong;T159_N04_C01
582;12083_7#24;T159N4_C1;ST239;ERS255019;130.2;current;T159_N04_C02
583;12083_7#25;T159N4_C2;ST239;ERS255020;120.04;current;T159_N04_C03
584;12083_7#26;T159N4_C3;ST239;ERS255021;119.64;current;T159_N04_C04
585;12083_7#27;T159N4_C4;ST239;ERS255022;122.2;current;T159_N04_C05
586;12083_7#28;T159N4_C5;ST239;ERS255023;119.64;current;T159_N04_C06
587;12083_7#29;T159N4_C6;ST239;ERS255024;123.28;current;T159_N04_C07
588;12083_7#30;T159N4_C7;ST239;ERS255025;124.92;current;T159_N04_C08
589;12083_7#31;T159N4_C8;ST239;ERS255026;116.56;current;T159_N04_C09
590;12083_7#32;T159N5_C1;ST239;ERS255027;133.36;current;T159_N05_C01
591;12083_7#33;T159N5_C2;ST239;ERS255028;114.92;current;T159_N05_C02
592;12083_7#34;T159N5_C3;ST239;ERS255029;109.64;current;T159_N05_C03
593;12083_7#35;T159N5_C4;ST239;ERS255030;115.76;current;T159_N05_C04
594;12083_7#36;T159N5_C5;ST239;ERS255031;112.24;current;T159_N05_C05
595;12083_7#37;T159N5_C6;ST239;ERS255032;125.64;current;T159_N05_C06
596;12083_7#38;T159N5_C7;ST239;ERS255033;130.72;current;T159_N05_C07
597;12083_7#39;T159N5_C8;ST239;ERS255034;129.56;current;T159_N05_C08
598;12083_7#40;T159N6_C1;ST239;ERS255035;136.45;current;T159_N06_C01
599;12083_7#41;T159N6_C2;ST239;ERS255036;125.12;current;T159_N06_C02
600;12083_7#42;T159N6_C3;ST239;ERS255037;129.8;current;T159_N06_C03
601;12083_7#43;T159N6_C4;ST239;ERS255038;117.28;current;T159_N06_C04
602;12083_7#44;T159N6_C5;ST239;ERS255039;117.36;current;T159_N06_C05
603;12083_7#45;T159N6_C6;ST239;ERS255040;124.36;current;T159_N06_C06
604;12083_7#46;T159N6_C7;ST239;ERS255041;121.84;current;T159_N06_C07
605;12083_7#47;T159N6_C8;ST239;ERS255042;127.88;current;T159_N06_C08
606;12083_7#48;T159N7_C1;ST239;ERS255043;134.72;current;T159_N07_C01
607;12083_7#49;T159N7_C2;ST239;ERS255044;125.52;current;T159_N07_C02
608;12083_7#50;T159N7_C3;ST239;ERS255045;117.12;current;T159_N07_C03
609;12083_7#51;T159N7_C4;ST239;ERS255046;121;current;T159_N07_C04
610;12083_7#52;T159N7_C5;ST239;ERS255047;123.52;current;T159_N07_C05
611;12083_7#53;T159N7_C6;ST239;ERS255048;122.72;current;T159_N07_C06
612;12083_7#54;T159N7_C7;ST239;ERS255049;125.4;current;T159_N07_C07
613;5227_1#2;T159N8;NA;ERS008028;80.2;Tong;T159_N08_C01
614;12083_7#55;T159N8_C8;ST239;ERS255050;127.24;current;T159_N08_C02
615;12083_7#56;T159N8_C1;ST239;ERS255051;144.15;current;T159_N08_C03
616;12083_7#57;T159N8_C2;ST239;ERS255052;123.12;current;T159_N08_C04
617;12083_7#58;T159N8_C3;ST239;ERS255053;121.72;current;T159_N08_C05
618;12083_7#59;T159N8_C4;ST239;ERS255054;120.2;current;T159_N08_C06
619;12083_7#60;T159N8_C5;ST239;ERS255055;122.04;current;T159_N08_C07
620;12083_7#61;T159N8_C6;ST239;ERS255056;112;current;T159_N08_C08
621;12083_7#62;T159N8_C7;ST239;ERS255057;112.64;current;T159_N08_C09
622;12083_7#63;T159N8_C8;ST239;ERS255058;115.52;current;T159_N08_C10
623;12083_8#82;T159N8_C5;ST239;ERS255175;109.52;current;T159_N08_C11
624;4950_3#12;T178N3;NA;ERS008026;133;Tong;T178_N03_C01
625;12378_8#74;T178T2;ST239;ERS255354;127.16;current;T178_T02_C01
626;4950_3#11;T182N1;NA;ERS008025;130.9;Tong;T182_N01_C01
627;12378_8#75;T183A8;ST239;ERS255355;125.64;current;T183_A08_C01
628;4950_3#10;T183N2;NA;ERS008024;100.7;Tong;T183_N02_C01
629;12083_7#64;T183N2_C1;ST239;ERS255059;124.92;current;T183_N02_C02
630;12083_7#65;T183N2_C2;ST239;ERS255060;123.24;current;T183_N02_C03
631;12083_7#66;T183N2_C3;ST239;ERS255061;122.92;current;T183_N02_C04
632;12083_7#67;T183N2_C4;ST239;ERS255062;119.36;current;T183_N02_C05
633;12083_7#68;T183N2_C5;ST239;ERS255063;116.28;current;T183_N02_C06
634;12083_7#69;T183N2_C6;ST239;ERS255064;112.2;current;T183_N02_C07
635;12083_7#70;T183N2_C7;ST239;ERS255065;112.76;current;T183_N02_C08
636;12083_7#71;T183N2_C8;ST239;ERS255066;105.66;current;T183_N02_C09
637;12083_7#72;T183N3_C1;ST239;ERS255067;111.24;current;T183_N03_C01
638;12083_7#73;T183N3_C2;ST239;ERS255068;114.2;current;T183_N03_C02
639;12083_7#74;T183N3_C3;ST239;ERS255069;115.6;current;T183_N03_C03
640;12083_7#75;T183N3_C4;ST239;ERS255070;114.56;current;T183_N03_C04
641;12083_7#76;T183N3_C5;ST239;ERS255071;117.12;current;T183_N03_C05
642;12083_7#77;T183N3_C6;ST239;ERS255072;112.04;current;T183_N03_C06
643;12083_7#78;T183N3_C7;ST239;ERS255073;103.98;current;T183_N03_C07
644;12083_7#79;T183N3_C8;ST239;ERS255074;100.89;current;T183_N03_C08
645;12083_7#80;T183N5_C3;ST239;ERS255075;110.52;current;T183_N05_C01
646;12083_7#81;T183N5_C4;ST239;ERS255076;120.64;current;T183_N05_C02
647;12083_8#83;T183N5_C1;ST239;ERS255176;110.44;current;T183_N05_C03
648;12083_8#84;T183N5_C2;ST239;ERS255177;122.2;current;T183_N05_C04
649;12083_8#85;T183N5_C6;ST239;ERS255178;112.04;current;T183_N05_C05
650;12083_8#86;T183N5_C7;ST239;ERS255179;114.32;current;T183_N05_C06
651;12083_8#87;T183N5_C8;ST239;ERS255180;107.91;current;T183_N05_C07
652;12083_8#88;T183N5_C5;ST239;ERS255181;105.69;current;T183_N05_C08
653;12083_7#88;T183N6_C1;ST239;ERS255083;112.92;current;T183_N06_C01
654;12083_7#89;T183N6_C2;ST239;ERS255084;131.96;current;T183_N06_C02
655;12083_7#90;T183N6_C3;ST239;ERS255085;120.56;current;T183_N06_C03
656;12083_7#91;T183N6_C4;ST239;ERS255086;120.08;current;T183_N06_C04
657;12083_7#92;T183N6_C5;ST239;ERS255087;113.6;current;T183_N06_C05
658;12083_7#93;T183N6_C6;ST239;ERS255088;114.6;current;T183_N06_C06
659;12083_7#94;T183N6_C7;ST239;ERS255089;114.72;current;T183_N06_C07
660;4950_3#9;T183N8;NA;ERS008023;108.2;Tong;T183_N08_C01
661;12083_7#82;T183N8_C1;ST239;ERS255077;114.24;current;T183_N08_C02
662;12083_7#83;T183N8_C2;ST239;ERS255078;110.12;current;T183_N08_C03
663;12083_7#84;T183N8_C3;ST239;ERS255079;111.2;current;T183_N08_C04
664;12083_7#85;T183N8_C4;ST239;ERS255080;106.56;current;T183_N08_C05
665;12083_8#50;T183N8_C5;ST239;ERS255143;107.61;current;T183_N08_C06
666;12083_8#51;T183N8_C6;ST239;ERS255144;113.84;current;T183_N08_C07
667;12083_8#52;T183N8_C7;ST239;ERS255145;107.64;current;T183_N08_C08
