5985_8#5	T126_N20_C17
5985_8#6	T126_N20_C18
5985_8#7	T126_N20_C19
5985_8#8	T126_N20_C20
5985_8#9	T126_N20_C21
4752_7#1	T126_N03_C01
12054_7#42	T126_N03_C02
12054_7#43	T126_N03_C03
12054_7#44	T126_N03_C04
12054_7#45	T126_N03_C05
12054_7#46	T126_N03_C06
12054_7#47	T126_N03_C07
12054_7#48	T126_N03_C08
5704_7#2	T126_N04_C01
12054_7#49	T126_N04_C02
12054_7#50	T126_N04_C03
12054_7#51	T126_N04_C04
12054_7#52	T126_N04_C05
12054_7#53	T126_N04_C06
12054_7#54	T126_N04_C07
12054_7#55	T126_N04_C08
12054_7#56	T126_N04_C09
5704_7#3	T126_N05_C01
12054_7#57	T126_N05_C02
12054_7#58	T126_N05_C03
12054_7#59	T126_N05_C04
12054_7#60	T126_N05_C05
12054_7#61	T126_N05_C06
12054_7#62	T126_N05_C07
12054_7#63	T126_N05_C08
12054_7#64	T126_N05_C09
4752_7#4	T126_N06_C01
5985_3#10	T126_N06_C02
5985_3#11	T126_N06_C03
5985_3#7	T126_N06_C04
5985_3#8	T126_N06_C05
5985_3#9	T126_N06_C06
5985_4#1	T126_N06_C07
5985_4#10	T126_N06_C08
5985_4#11	T126_N06_C09
5985_4#2	T126_N06_C10
5985_4#3	T126_N06_C11
5985_4#4	T126_N06_C12
5985_4#5	T126_N06_C13
5985_4#6	T126_N06_C14
5985_4#7	T126_N06_C15
5985_4#8	T126_N06_C16
5985_4#9	T126_N06_C17
5985_5#1	T126_N06_C18
5985_5#2	T126_N06_C19
5985_5#3	T126_N06_C20
5985_5#4	T126_N06_C21
4752_7#5	T126_N07_C01
5704_7#4	T126_N08_C01
12054_7#65	T126_N08_C02
12054_7#66	T126_N08_C03
12054_7#67	T126_N08_C04
12054_7#68	T126_N08_C05
12054_7#69	T126_N08_C06
12054_7#70	T126_N08_C07
12054_7#71	T126_N08_C08
12054_7#72	T126_N08_C09
4752_7#7	T126_N09_C01
12054_7#73	T126_N09_C02
12054_7#74	T126_N09_C03
12054_7#75	T126_N09_C04
12054_7#76	T126_N09_C05
12054_7#77	T126_N09_C06
12054_7#78	T126_N09_C07
12054_7#79	T126_N09_C08
12054_7#80	T126_N09_C09
12378_8#63	T126_W04_C01
12378_8#3	T012_A11_C01
12378_8#4	T012_A14_C01
12378_8#5	T012_A17_C01
12378_8#6	T012_A18_C01
12378_8#7	T012_A24_C01
12378_8#8	T012_A28_C01
12378_8#2	T012_A07_C01
4925_8#7	T012_N01_C01
12162_7#27	T012_N01_C02
12162_7#28	T012_N01_C03
12162_7#29	T012_N01_C04
12162_7#30	T012_N01_C05
12162_7#31	T012_N01_C06
12162_7#32	T012_N01_C07
12162_7#33	T012_N01_C08
12162_7#34	T012_N01_C09
11076_2#55	T012_N10_C01
12162_7#83	T012_N10_C02
12162_7#84	T012_N10_C03
12162_7#85	T012_N10_C04
12162_7#86	T012_N10_C05
12162_7#87	T012_N10_C06
12162_7#88	T012_N10_C07
12162_7#89	T012_N10_C08
12162_6#1	T012_N11_C01
12162_6#2	T012_N11_C02
12162_6#3	T012_N11_C03
12162_6#4	T012_N11_C04
12162_6#5	T012_N11_C05
12162_6#6	T012_N11_C06
12162_6#7	T012_N11_C07
12162_6#8	T012_N11_C08
12162_6#10	T012_N12_C01
12162_6#11	T012_N12_C02
12162_6#12	T012_N12_C03
12162_6#13	T012_N12_C04
12162_6#14	T012_N12_C05
12162_6#15	T012_N12_C06
12162_6#16	T012_N12_C07
12162_6#9	T012_N12_C08
12162_6#17	T012_N13_C01
12162_6#18	T012_N13_C02
12162_6#19	T012_N13_C03
12162_6#20	T012_N13_C04
12162_6#21	T012_N13_C05
12162_6#22	T012_N13_C06
12162_6#23	T012_N13_C07
12162_6#24	T012_N13_C08
12162_6#25	T012_N14_C01
12162_6#26	T012_N14_C02
12162_6#27	T012_N14_C03
12162_6#28	T012_N14_C04
12162_6#29	T012_N14_C05
12162_6#30	T012_N14_C06
12162_6#31	T012_N14_C07
12162_6#32	T012_N15_C01
12162_6#33	T012_N15_C02
12162_6#34	T012_N15_C03
12162_6#35	T012_N15_C04
12162_6#36	T012_N15_C05
12162_6#37	T012_N15_C06
12162_6#38	T012_N15_C07
12162_6#39	T012_N15_C08
12162_6#40	T012_N16_C01
12162_6#41	T012_N16_C02
12162_6#42	T012_N16_C03
12162_6#43	T012_N16_C04
12162_6#44	T012_N16_C05
12162_6#45	T012_N16_C06
12162_6#46	T012_N16_C07
12162_6#47	T012_N16_C08
12162_6#48	T012_N17_C01
12162_6#49	T012_N17_C02
12162_6#50	T012_N17_C03
12162_6#51	T012_N17_C04
12162_6#52	T012_N17_C05
12162_6#53	T012_N17_C06
12162_6#54	T012_N17_C07
12162_6#55	T012_N17_C08
12162_6#56	T012_N18_C01
12162_6#57	T012_N18_C02
12162_6#58	T012_N18_C03
12162_6#59	T012_N18_C04
12162_6#60	T012_N18_C05
12162_6#61	T012_N18_C06
12162_6#62	T012_N18_C07
12162_6#63	T012_N18_C08
12162_6#64	T012_N19_C01
12162_6#65	T012_N19_C02
12162_6#66	T012_N19_C03
12162_6#67	T012_N19_C04
12162_6#68	T012_N19_C05
12162_6#69	T012_N19_C06
12162_6#70	T012_N19_C07
12162_6#71	T012_N19_C08
